ticker,isin,name,issuer,instrument_type,instrument_subtype,currency,catalog_url,instrument_url,is_active,capture_status,history_status,chart_status,error_reason,data_points,actual_start,actual_end,coverage_days,coverage_percent,insufficient_history,screenshot_path
OASIpp1,,Carlsberg Central Asia,Carlsberg Central Asia,bond,corporate,USD,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/OASIpp1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
OILAb1,,OILAb1,OILAb1,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/OILAb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
OKZHpp1,,Окжетпес III,Окжетпес III,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/OKZHpp1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
OLSTpp1,,Olivia Stroy,Olivia Stroy,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/OLSTpp1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ONMTpp1,,Onemotion,Onemotion,bond,corporate,USD,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ONMTpp1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ONMTpp2,,Onemotion,Onemotion,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ONMTpp2,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ONMTpp3,,Onemotion,Onemotion,bond,corporate,USD,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ONMTpp3,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ORBSb1,,Orbis Leasing,Orbis Leasing,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORBSb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORBSb2,,Orbis Leasing,Orbis Leasing,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORBSb2,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORBSb3,,Orbis Leasing,Orbis Leasing,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORBSb3,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORBSb4,,Orbis Leasing,Orbis Leasing,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORBSb4,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORBSb5,,Orbis Leasing,Orbis Leasing,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORBSb5,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORBSb6,,Orbis Leasing,Orbis Leasing,bond,corporate,USD,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORBSb6,True,PENDING,PARTIAL,DATA_READY,,148,2025-12-01T19:00:00,2026-08-27T19:00:00,148,59.68,True,
ORBSb7,,Orbis Leasing,Orbis Leasing,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORBSb7,True,PENDING,PARTIAL,DATA_READY,,115,2026-03-09T19:00:00,2026-08-27T19:00:00,115,46.37,True,
ORBSb8,,Orbis Leasing,Orbis Leasing,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORBSb8,True,PENDING,PARTIAL,DATA_READY,,85,2026-04-23T19:00:00,2026-08-27T19:00:00,85,34.27,True,
ORDBb1,,ORDBb1,ORDBb1,bond,corporate,USD,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORDBb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORDBb2,,ORDBb2,ORDBb2,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORDBb2,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORDKb1,,ОРДА кредит,ОРДА кредит,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORDKb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORDKb2,,ОРДА кредит,ОРДА кредит,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORDKb2,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORNKb1,,ORNKb1,ORNKb1,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORNKb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
ORNTpp1,,Orient Group KZ,Orient Group KZ,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORNTpp1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ORPTb1,,Оптово-розничное предприятие торговли,Оптово-розничное предприятие торговли,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORPTb1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ORPTb2,,Оптово-розничное предприятие торговли,Оптово-розничное предприятие торговли,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/ORPTb2,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
OSRGpp1,,Өскемен Энерго,Өскемен Энерго,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/OSRGpp1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
PDENb1,,ПАВЛОДАРЭНЕРГО,ПАВЛОДАРЭНЕРГО,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PDENb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PDENb2,,ПАВЛОДАРЭНЕРГО,ПАВЛОДАРЭНЕРГО,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PDENb2,True,PENDING,PARTIAL,DATA_READY,,7,2025-09-28T19:00:00,2026-04-27T19:00:00,7,2.82,True,
PDENb3,,ПАВЛОДАРЭНЕРГО,ПАВЛОДАРЭНЕРГО,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PDENb3,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PDESb1,,PDESb1,PDESb1,bond,corporate,USD,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PDESb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PIFRb1,,PartnerInterFreight (ПартнэрИнтэрФрэйт),PartnerInterFreight (ПартнэрИнтэрФрэйт),bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PIFRb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PIFRb2,,PartnerInterFreight (ПартнэрИнтэрФрэйт),PartnerInterFreight (ПартнэрИнтэрФрэйт),bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PIFRb2,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PKDAb1,,"СПК ""ДАМУ АГРО""","СПК ""ДАМУ АГРО""",bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PKDAb1,True,PENDING,PARTIAL,DATA_READY,,34,2025-09-14T19:00:00,2026-08-26T19:00:00,34,13.71,True,
