ticker,isin,name,issuer,instrument_type,instrument_subtype,currency,catalog_url,instrument_url,is_active,capture_status,history_status,chart_status,error_reason,data_points,actual_start,actual_end,coverage_days,coverage_percent,insufficient_history,screenshot_path
AAFD,KZ1C00008721,AsiaAgroFood,"JSC ""AsiaAgroFood""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AAFD,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
ADLA,KZ1C00000918,Aidala Munai,Aidala Munai joint-stock company,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ADLA,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
AIRA,KZ1C00004050,Air Astana,Air Astana JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AIRA,True,UNAVAILABLE,COMPLETE,NO_CHART,NO_CHART,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
AKGR,KZ1C00014141,Akzhal Gold Resources,"JSC ""Akzhal Gold Resources""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AKGR,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
AKRL,KZ1C00001007,Ai Karaauyl,"JSC ""Ai Karaauyl""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AKRL,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
AKZM,KZ1C00001288,Aktobe Metalware Plant,Aktobe Metalware Plant  JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AKZM,True,PENDING,PARTIAL,DATA_READY,,221,2025-08-27T19:00:00,2026-08-27T19:00:00,221,89.11,True,
ALMS,KZ1C00001080,AK Altynalmas,AK Altynalmas JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ALMS,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ALMT,KZ1C00015510,AltaMet Minerals,"""AltaMet Minerals"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ALMT,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
ALTV,KZ1C00001460,AlmaTel Kazakhstan,Alma Telecommunications Kazakhstan JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ALTV,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
AMAN,KZ1C00000983,Altay Resources,Altay Resources JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AMAN,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
AMGZp,KZ0009093902,Aktobe Petroleum,CNPC - AMG JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AMGZp,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
AMXP,KZ1C00001601,Asker Munai Exploration,"""Asker Munai Exploration"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AMXP,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
ASBN,KZ000A0F4546,ForteBank,"JSC ""ForteBank""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ASBN,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
ASKQ,KZ1C00014851,ALTYN SAMRUK QAZAQSTAN,ALTYN SAMRUK QAZAQSTAN JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ASKQ,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
ASKQp,KZ1P00014989,ALTYN SAMRUK QAZAQSTAN,ALTYN SAMRUK QAZAQSTAN JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ASKQp,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
ASLF,KZ1C00001585,LIC Freedom Life,"JSC ""LIC ""Freedom Life""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ASLF,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ASTL,KZ1C00000678,ASTEL,ASTEL JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ASTL,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
ATEC,KZ1C00001171,AltynEx,AltynEx Company JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ATEC,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
AZNO,KZ000A1CTMD1,Aktobe Oil Equipment Plant,Aktobe Oil Equipment Plant JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AZNO,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
AZNOp,KZ1P00000269,Aktobe Oil Equipment Plant,Aktobe Oil Equipment Plant JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/AZNOp,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
BAST,KZ1C00001015,BAST,BAST JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/BAST,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
BSUL,KZ1C00000165,Bayan Sulu,Bayan Sulu JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/BSUL,True,PENDING,COMPLETE,DATA_READY,,240,2025-08-27T19:00:00,2026-08-27T19:00:00,240,96.77,False,
CCBN,KZ0007786572,Bank CenterCredit,Bank CenterCredit JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/CCBN,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
CCBNp,KZ000A0H0930,Bank CenterCredit,Bank CenterCredit JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/CCBNp,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
CORE_KZ,JE00B6T5S470,Solidcore Resources plc,Solidcore Resources plc,stock,ordinary share,USD,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/CORE_KZ,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
CRMG,KZ1C00001486,Crystal Management,Crystal Management JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/CRMG,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
CSEC,KZ1C00009562,Centras Securities,Centras Securities JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/CSEC,True,PENDING,PARTIAL,DATA_READY,,6,2025-09-17T19:00:00,2026-08-26T12:00:00,6,2.42,True,
EKTN,KZ1C00000538,EKOTON+,"JSC ""EKOTON+""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/EKTN,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
EXCS,KZ1C00005560,"""Caspy"" Commodity Exchange","JSC ""Caspy"" Commodity Exchange""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/EXCS,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
EXCSp,KZ1P00013585,"""Caspy"" Commodity Exchange","JSC ""Caspy"" Commodity Exchange""",stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/EXCSp,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
EXPA,KZ1C00001478,Green Power Generation,"JSC ""Green Power Generation""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/EXPA,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
FFIN,KZ1C00001262,Freedom Finance,Freedom Finance JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/FFIN,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
FHRP,KZ1C00015171,"""RESPUBLIKA"" FINANCIAL HOLDING","""RESPUBLIKA"" FINANCIAL HOLDING"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/FHRP,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
FRHC_KZ,US3563901046,Freedom Holding Corp.,Freedom Holding Corp.,stock,ordinary share,USD,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/FRHC_KZ,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
GB_ALTN,GB00BMH19X50,AltynGold plc,AltynGold plc,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/GB_ALTN,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
HSBK,KZ000A0LE0S4,Halyk Bank,Halyk Bank of Kazakhstan JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/HSBK,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
IFDR,KZ1C00000256,Teniz Capital Investment Banking,"""Teniz Capital Investment Banking"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/IFDR,True,PENDING,PARTIAL,DATA_READY,,233,2025-08-27T19:00:00,2026-08-27T19:00:00,233,93.95,True,
INBNp,KZ1P00000764,Bank RBK,Bank RBK JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/INBNp,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
KASE,KZ1C00001213,KASE,Kazakhstan Stock Exchange JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KASE,True,PENDING,COMPLETE,DATA_READY,,246,2025-08-27T19:00:00,2026-08-27T19:00:00,246,99.19,False,
KATR,KZ1C00000025,Atameken-Agro,Atameken-Agro JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KATR,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
KATRp,KZ1P00000038,Atameken-Agro,Atameken-Agro JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KATRp,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
KCEL,KZ1C00000876,Kcell,Kcell JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KCEL,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
KEGC,KZ1C00000959,KEGOC,"JSC ""KEGOC""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KEGC,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
KMCP,KZ1C00001379,Kazakhmys Copper,Kazakhmys Copper JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/en/investors/shares/KMCP/,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,1,2026-08-14T15:31:10.364190,2026-08-14T15:31:10.364190,1,0.4,True,
KMGD,KZ1C00001254,KM GOLD,KM GOLD JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KMGD,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
KMGZ,KZ1C00001122,"National Company ""KazMunayGaz""","""National Company ""KazMunayGaz"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KMGZ,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
KOZN,KZ1C00001072,KoZhaN,KoZhaN JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KOZN,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
KSNF,KZ1C00000694,Caspi neft,Caspi neft JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KSNF,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
KSPI,KZ1C00001536,Kaspi.kz,Kaspi.kz JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KSPI,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
KZAP,KZ1C00001619,NAC Kazatomprom,"JSC ""NAC Kazatomprom""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KZAP,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
KZAZ,KZ1C00001395,KazAzot,KazAzot JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KZAZ,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
KZHR,KZ1C00001296,Karazhyra,"JSC ""Karazhyra""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KZHR,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
KZIK,KZ1C00000637,Kazakhstan Housing Company,"JSC ""Kazakhstan Housing Company""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KZIK,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
KZTK,KZ0009093241,Kazakhtelecom,"JSC ""Kazakhtelecom""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KZTK,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
KZTKp,KZ0009094645,Kazakhtelecom,"JSC ""Kazakhtelecom""",stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KZTKp,True,PENDING,COMPLETE,DATA_READY,,246,2025-08-27T19:00:00,2026-08-27T19:00:00,246,99.19,False,
KZTO,KZ1C00000744,KazTransOil,"JSC ""KazTransOil""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/KZTO,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
LNPT,KZ1C00000215,KMK Munai,"JSC ""KMK Munai""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/LNPT,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
LOGC,KZ1C00000892,LOGYCOM,"JSC ""LOGYCOM""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/LOGC,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
LZGR,KZ1C00001593,Leasing Group,"JSC ""Leasing Group""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/LZGR,True,PENDING,PARTIAL,DATA_READY,,10,2025-12-04T19:00:00,2026-08-27T19:00:00,10,4.03,True,
MATN,KZ1C00000868,Maten Petroleum,"JSC ""Maten Petroleum""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/MATN,True,PENDING,PARTIAL,DATA_READY,,7,2025-09-10T19:00:00,2026-08-26T12:00:00,7,2.82,True,
MKBW,KZ1C00014422,Maikuben-West,"""Maikuben-West"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/MKBW,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
MMGZ,KZ0009093696,Mangistaumunaigaz,"""Mangistaumunaigas"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/MMGZ,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
MMGZp,KZ0009089736,Mangistaumunaigaz,"""Mangistaumunaigas"" JSC",stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/MMGZp,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
MREK,KZ1C00000413,MRENC,"""Mangistau Regional Electricity Network Company""  JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/MREK,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
NRBN,KZ000A1CTMU5,Nurbank,Nurbank JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/NRBN,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
NRBNp6,KZ000A1CTMV3,Nurbank,Nurbank JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/NRBNp6,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
PHYS,KZ1C00001148,Phystech II,Phystech II JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/PHYS,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
PZVA,KZ1C00001577,"JSC ""POSITIVE-A""","JSC ""POSITIVE-A""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/PZVA,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
RAHT,KZ000A1CTMZ4,LOTTE Rakhat,LOTTE Rakhat JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/RAHT,True,PENDING,COMPLETE,DATA_READY,,247,2025-08-27T19:00:00,2026-08-27T19:00:00,247,99.6,False,
RGBR,KZ1C00000496,RG Brands,RG Brands JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/RGBR,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
RGBRp,KZ1P00000509,RG Brands,RG Brands JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/RGBRp,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
SABR,KZ1C00005388,Sinoasia B&R Insurance,Sinoasia B&R Insurance JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/SABR,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
SABRp,KZ1P00014559,Sinoasia B&R Insurance,Sinoasia B&R Insurance JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/SABRp,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
SAS_,KZ1C00000827,S.A.S.,S.A.S. JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/SAS_,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
SATC,KZ1C00000553,Fincraft Resources,Fincraft Resources JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/SATC,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
SATCp,KZ1P00000566,Fincraft Resources,Fincraft Resources JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/SATCp,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
SHUP,KZ1C00001445,Shubarkol Premium,Shubarkol Premium JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/SHUP,True,PENDING,UNAVAILABLE,DATA_READY,NO_PUBLIC_HISTORY,2,2026-08-14T15:31:10.364190,2026-08-24T15:48:48.982791,2,0.81,True,
SHZN,KZ1C00000967,ShalkiyaZinc,ShalkiyaZinc LTD JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/SHZN,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
SKSL,KZ1C00001429,LIC Standard Life,"Life Insurance Company ""Standard Life JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/SKSL,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
TMLZ,KZ1C00000405,ForteLeasing,ForteLeasing JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/TMLZ,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
TPIB,KZ1C00007665,Tengri Partners Investment Banking (Kazakhstan),Tengri Partners Investment Banking (Kazakhstan) JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/TPIB,True,PENDING,PARTIAL,DATA_READY,,4,2025-10-15T19:00:00,2026-08-26T12:00:00,4,1.61,True,
TRRX,KZ1C00015502,Terrox Metals,"""Terrox Metals"" JSC",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/TRRX,True,PENDING,PARTIAL,DATA_READY,,7,2026-05-04T19:00:00,2026-08-26T12:00:00,7,2.82,True,
TSBN,KZ000A0Q5HK5,Alatau City Bank,"JSC ""Alatau City Bank""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/TSBN,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
TSBNp,KZ000A0RM3V6,Alatau City Bank,"JSC ""Alatau City Bank""",stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/TSBNp,True,PENDING,PARTIAL,DATA_READY,,19,2025-09-03T19:00:00,2026-08-26T12:00:00,19,7.66,True,
ULBS,KZ1C00001627,"ULMUS BESSHOKY (ULMUS BESSHOKY)""","JSC ""ULMUS BESSHOKY (ULMUS BESSHOKY)""",stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/ULBS,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
UTMK,KZ000A1CTM59,Ust-Kamenogorsk Titanium Magnesium Plant,Ust-Kamenogorsk Titanium Magnesium Plant JSC,stock,ordinary share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/UTMK,True,PENDING,PARTIAL,DATA_READY,,6,2026-01-25T19:00:00,2026-08-26T12:00:00,6,2.42,True,
UTMKp,KZ000A1CTM67,Ust-Kamenogorsk Titanium Magnesium Plant,Ust-Kamenogorsk Titanium Magnesium Plant JSC,stock,preferred share,KZT,https://kase.kz/api/instruments/securities/,https://kase.kz/ru/investors/shares/UTMKp,True,PENDING,PARTIAL,DATA_READY,,86,2025-11-10T19:00:00,2026-08-27T19:00:00,86,34.68,True,
aAESOb1,,aAESOb1,aAESOb1,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/aAESOb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
